tail;head;cost
Complex3086,Complex3086;Complex3090,SmallMolecule2631;1
Complex3087,Complex3087;Complex3089,SmallMolecule2628;1
Complex3088,Complex3088;Complex3091,SmallMolecule2632;1
Complex3089,Protein2788;Complex3116,Protein7357;1
Complex3090,Protein2788;Complex3116,Protein7356;1
Complex3091,Protein2788;Complex3116,Protein7358;1
Complex3091,Protein7369;Complex3125,Protein7358;1
Complex3092,Complex3092;Complex3109,SmallMolecule2634;1
Complex3093,Complex3093;Complex3109,SmallMolecule2633;1
Complex3094,Complex3094;Complex3110,SmallMolecule2640;1
Complex3095,Complex3095;Complex3110,SmallMolecule2635;1
Complex3096,Complex3096;Complex3110,SmallMolecule2633;1
Complex3097,Complex3097;Complex3111,SmallMolecule2633;1
Complex3098,Complex3098;Complex3113,SmallMolecule2635;1
Complex3099,Complex3099;Complex3113,SmallMolecule2633;1
Complex3100,Complex3100;Complex3112,SmallMolecule2637;1
Complex3101,Complex3101;Complex3112,SmallMolecule2638;1
Complex3102,Complex3102;Complex3112,SmallMolecule2639;1
Complex3103,Complex3103;Complex3112,SmallMolecule2636;1
Complex3104,Complex3104;Complex3091,SmallMolecule2641;1
Complex3105,Complex3105;Complex3114,SmallMolecule2638;1
Complex3106,Complex3106;Complex3114,SmallMolecule2639;1
Complex3107,Complex3107;Complex3114,SmallMolecule2641;1
Complex3108,Complex3108;Complex3115,SmallMolecule2634;1
Complex3109,Protein2788;Complex3116,Protein7359;1
Complex310,SmallMolecule123,Protein892,Protein891;Complex311,SmallMolecule124;1
Complex3110,Protein2788;Complex3116,Protein7360;1
Complex3112,Protein2788;Complex3116,Protein7363;1
Complex3113,Protein2788;Complex3116,Protein7362;1
Complex3116,Complex3116;Complex3118;1
Complex3117,Protein2788;Complex3116,Protein7361;1
Complex3118;Complex3133;1
Complex3118,Protein7366;Complex3119;1
Complex3119,Complex3119;Complex3120,Protein2788,SmallMolecule2642;1
Complex311,Complex312;Complex320;1
Complex3120,Complex3121;Complex3122;1
Complex3121,Complex3128,Protein7370;Complex3129;1
Complex3121,Complex3348;Complex3350;1
Complex3122,SmallMolecule2643,Complex3122;Complex3123,SmallMolecule1587;1
Complex3123,Complex3123;Complex3124;1
Complex3124;Complex3121,PhysicalEntity70,Protein7366;1
Complex3125,Complex3125;Complex3126;1
Complex3126,Protein7366;Complex3127;1
Complex3127,Complex3127;Complex3128,SmallMolecule2642;1
Complex3129,SmallMolecule426,Complex3129;Complex3130,SmallMolecule430;1
Complex312,Protein10172;Complex4970;1
Complex312,Protein2583;Complex1071;1
Complex312,Protein8639;Complex9315;1
Complex312,Protein8645;Complex4969;1
Complex312,Protein908;Complex332;1
Complex3130,SmallMolecule2643,Complex3130;Complex3131,SmallMolecule1587;1
Complex3131,Complex3131;Complex3132;1
Complex3132;Complex3121,PhysicalEntity70,Protein7366,Protein7369,Protein7370;1
Complex3133,Protein7366;Complex3134;1
Complex3134,PhysicalEntity411,Complex3134;Complex3135,SmallMolecule1587;1
Complex3135,Complex3136,Protein2787;Complex3137,Protein2788;1
Complex3135,Complex3145,Protein2787;Complex3147,Protein7366;1
Complex3136,Complex3338,Complex3340,Protein2787;Complex3341;1
Complex3136,Complex3375;Complex3378;1
Complex3137,SmallMolecule2643,Complex3137;Complex3138,SmallMolecule1587;1
Complex3138,SmallMolecule427,Complex3138;Complex3139,SmallMolecule429;1
Complex3139;Complex3140,Complex3141;1
Complex3140,SmallMolecule426,Protein7377;Complex3136,SmallMolecule2644;1
Complex3141,Complex3141;Complex3142,PhysicalEntity415,Protein2787;1
Complex3142,Protein2789;Complex3143;1
Complex3143,Complex3143;Complex3144;1
Complex3144;PhysicalEntity70,Protein2789,Protein7366;1
Complex3145,PhysicalEntity417;Complex3152;1
Complex3146,Complex3209,Complex3211;Complex3210;1
Complex3147,SmallMolecule2643,Complex3147;Complex3148,SmallMolecule1587;1
Complex3148,Complex3148;Complex3149,PhysicalEntity415,Protein2787;1
Complex3149,Protein2789;Complex3150;1
Complex3150,Complex3150;Complex3151;1
Complex3151;Complex3145,PhysicalEntity70,Protein2788,Protein2789;1
Complex3152,Complex3153;Complex3157;1
Complex3157,Protein1739,Complex3157;Complex3146,Complex3153,Complex3158;1
Complex3158,Complex3162;Complex3163;1
Complex3162,Complex3162;Protein7386,Protein7388,Protein7389;1
Complex3163,Complex3163;Complex3162,Complex3164,Protein1739;1
Complex3165,Protein7390;Complex3166;1
Complex3166,SmallMolecule458,Complex3166;Complex3167;1
Complex3167,Complex3169;Complex3170;1
Complex3169,Complex3184,Complex3185,Protein7390;Complex3186;1
Complex3169,Complex3191,Complex3192,Protein7390;Complex3193;1
Complex3170,SmallMolecule2643,Complex3170;Complex3169,Complex3171,SmallMolecule1587;1
Complex3172,Protein7393;Complex3173;1
Complex3173,SmallMolecule456,Complex3173;Complex3174,SmallMolecule1587;1
Complex3174,SmallMolecule2643,Complex3174;Complex3176,SmallMolecule1587;1
Complex3176,Protein7396;Complex3179;1
Complex3177,Protein1739,Complex3177;Complex3178,Protein7394;1
Complex3179,Complex3180;Complex3182;1
Complex317,Complex3519;Complex3520;1
Complex317,Protein6887;Complex3524;1
Complex3182,SmallMolecule361,Complex3182;Complex3183,Protein7393,SmallMolecule362;1
Complex3186,SmallMolecule2643,Complex3186;Complex3187,SmallMolecule1587;1
Complex3187,SmallMolecule2643,Complex3187;Complex3169,Complex3189,Protein7390,SmallMolecule1587;1
Complex318,Complex5788;Complex5789;1
Complex318,Protein12137;Complex5780;1
Complex318,Protein16902;Complex7884;1
Complex3193,SmallMolecule2643,Complex3193;Complex3194,SmallMolecule1587;1
Complex3194,SmallMolecule2643,Complex3194;Complex3169,Complex3196,Protein7390,SmallMolecule1587;1
Complex3198,Complex3199;Complex3200;1
Complex319,Complex6757;Complex6761;1
Complex319,Protein16903;Complex7889;1
Complex319,Protein1845;Complex736;1
Complex3200,Complex3201,Complex3200;Complex3199,Complex3202,Protein7405;1
Complex3202,Protein7410;Complex3205;1
Complex3205,SmallMolecule426,Complex3205;Complex3206,Protein1739,Protein7402,Protein7410;1
Complex3206,Protein7411;Complex3208;1
Complex3208,SmallMolecule426,Complex3208;Complex3209,Protein7406,Protein7411;1
Complex3210,SmallMolecule2643,Complex3210;Complex3145,PhysicalEntity416,SmallMolecule1587;1
Complex3212,PhysicalEntity446;Complex3213;1
Complex3213,Complex3213;Complex3214,PhysicalEntity70;1
Complex3215,PhysicalEntity447;Complex3216;1
Complex3215,PhysicalEntity448;Complex3217;1
Complex3215,PhysicalEntity449;Complex3218;1
Complex3216,SmallMolecule368,SmallMolecule369,Complex3216;Complex3215,PhysicalEntity70,SmallMolecule370,SmallMolecule371,SmallMolecule463;1
Complex3217,SmallMolecule368,SmallMolecule369,Complex3217;Complex3215,PhysicalEntity70,SmallMolecule370,SmallMolecule371,SmallMolecule463;1
Complex3218,SmallMolecule368,SmallMolecule369,Complex3218;Complex3215,PhysicalEntity70,SmallMolecule2647,SmallMolecule370,SmallMolecule371;1
Complex3219,PhysicalEntity447;Complex3222;1
Complex3219,PhysicalEntity448;Complex3223;1
Complex3219,PhysicalEntity449;Complex3224;1
Complex3222,SmallMolecule368,SmallMolecule369,Complex3222;Complex3219,PhysicalEntity70,SmallMolecule370,SmallMolecule371,SmallMolecule463;1
Complex3223,SmallMolecule368,SmallMolecule369,Complex3223;Complex3219,PhysicalEntity70,SmallMolecule370,SmallMolecule371,SmallMolecule463;1
Complex3224,SmallMolecule368,SmallMolecule369,Complex3224;Complex3219,PhysicalEntity70,SmallMolecule2647,SmallMolecule370,SmallMolecule371;1
Complex3225,Protein2081;Complex855;1
Complex3226;Protein2081,Protein7423;1
Complex3229,SmallMolecule361,Complex3229;Complex3230,SmallMolecule362;1
Complex3230,Protein2009,Protein7427;Complex3232;1
Complex3230,SmallMolecule426,Protein7433;Complex3233,SmallMolecule430;1
Complex3233,Complex3234;Complex3235;1
Complex3235,SmallMolecule361,Complex3235;Complex3236,SmallMolecule362;1
Complex3236,Protein3736;Complex3237;1
Complex3237,SmallMolecule361,Complex3237;Complex3238,SmallMolecule362;1
Complex3238,SmallMolecule432,Complex3238;Complex3239,SmallMolecule433;1
Complex3239,Protein7439;Complex3243;1
Complex3244,Protein2568,Protein7440;Complex3245;1
Complex3245,SmallMolecule361,Complex3245;Complex3246,SmallMolecule362;1
Complex3246,Complex3247,Complex3246;Complex3248,Protein3255;1
Complex3247,Protein10243,Complex791;Complex5516,Protein3255;1
Complex3247,Protein11450,Protein7563;Complex5495,Protein3255;1
Complex3247,Protein11456,Protein7562;Complex5497,Protein3255;1
Complex3247,Protein11489,Complex791;Complex5508,Protein3255;1
Complex3247,Protein11489,Protein11494;Complex5508,Protein3255;1
Complex3247,Protein11504,Complex791;Complex5511,Protein3255;1
Complex3247,Protein11526,Complex3247;Complex5517,Protein3255;1
Complex3247,Protein11531;Complex5518,Protein11534;1
Complex3247,Protein11549,Complex3247;Complex5525,Protein3255;1
Complex3247,Protein11555,Complex3247;Complex5527,Protein3255;1
Complex3247,Protein2567,Protein2568;Complex5510,Protein3255;1
Complex3247,Protein2659,Complex3247;Complex5524,Protein3255;1
Complex3247,Protein2660,Complex3247;Complex5526,Protein3255;1
Complex3247,Protein2660,Complex791;Complex5526,Protein3255;1
Complex3247,Protein3230,Protein11465;Complex5499,Protein3255;1
Complex3247,Protein7360,Complex3247;Complex5512,Protein3255;1
Complex3247,Protein7372,Protein2568;Complex5507,Protein3255;1
Complex3247,Protein7438,Complex3247;Complex5506,Protein3255;1
Complex3247,Protein7440,Protein2568;Complex5505,Protein3255;1
Complex3247,Protein7447,Protein2568;Complex5498,Protein3255;1
Complex3247,Protein7467,Protein1967;Complex5513,Protein3255;1
Complex3247,Protein7494,Complex3247;Complex5509,Protein3255;1
Complex3247,Protein7514,Protein11517;Complex5514,Protein3255;1
Complex3247,Protein7521,Complex3247;Complex5515,Protein3255;1
Complex3249,Protein2567;Complex3250;1
Complex3250,Protein1739,Complex3250;Complex3251;1
Complex3251,Protein1739,Complex3251;Complex1055,Protein7444;1
Complex3253,SmallMolecule361,Complex3253;Complex1054,SmallMolecule362;1
Complex3254,Complex3255,Protein2562,Protein2565,Protein2566;Complex3256;1
Complex3256,SmallMolecule361,Complex3256;Complex1051,SmallMolecule362;1
Complex3258,Complex3261,Complex3258;Complex3262,Protein3255;1
Complex3258,Protein7499,Protein7500;Complex3260,Complex3351,Protein2562,Protein2563,Protein2564,Protein2565,Protein2566;1
Complex3260,Complex3277;Complex3279;1
Complex3261,Protein10241,Complex5500;Protein11525,Protein3255;1
Complex3261,Protein11456,Protein7562;Protein11459,Protein3255;1
Complex3261,Protein11489,Complex791;Protein11495,Protein3255;1
Complex3261,Protein11504,Complex791;Protein11507,Protein3255;1
Complex3261,Protein11521,Protein7562;Protein11522,Protein3255;1
Complex3261,Protein11526,Complex3261;Protein11530,Protein3255;1
Complex3262,Protein1739,Complex3271;Complex1059,Complex1062,Complex1066,Complex1067,Complex1068,Complex3260,Complex3269,Protein2562,Protein2563,Protein2564,Protein2565,Protein2566,Protein2567,Protein2568,Protein2573,Protein2579;1
Complex3272,SmallMolecule427,Protein7460;Complex3273,SmallMolecule428,SmallMolecule429;1
Complex3273,Complex856;Complex3337;1
Complex3274,SmallMolecule361,Complex3274;Complex3275,Complex878,SmallMolecule362;1
Complex3275,SmallMolecule361,Complex3275;Complex3277,SmallMolecule362;1
Complex3279,SmallMolecule426,Complex3279;Complex3281,SmallMolecule2643;1
Complex3281,Complex3284,Protein7463;Complex3289;1
Complex3286,Protein7489;Complex3320;1
Complex3289,SmallMolecule426,Complex3289;Complex3290,SmallMolecule2643;1
Complex3290,Complex719;Complex3293;1
Complex3295,SmallMolecule361,Complex3295;Complex3296,SmallMolecule362;1
Complex3296,Complex3300,Protein2556,Protein2624;Complex3301;1
Complex3296,Complex3326;Complex3327;1
Complex3296,Protein7476,Protein7477;Complex1050,Complex1078,Complex1080,Complex3299,Complex3303,Protein7469,Protein7470;1
Complex3299,SmallMolecule426,Complex3302;Complex719,SmallMolecule430;1
Complex3301,SmallMolecule361,Complex3301;Complex3296,Complex3300,Protein2557,Protein2624,SmallMolecule362;1
Complex3303,Complex3305;Complex3306;1
Complex3306,PhysicalEntity116,Protein7481,Protein7482;Complex3307;1
Complex3307,Complex3309;Complex3310;1
Complex3310,SmallMolecule2643,Complex3313;Complex3311,SmallMolecule1587;1
Complex3311,Complex3315;Complex3316;1
Complex3311;Complex3318;1
Complex3311,SmallMolecule361,SmallMolecule426,Protein7493;Complex1061,Complex3260,Complex3278,Complex3284,Complex3304,Complex3305,Complex3309,PhysicalEntity116,PhysicalEntity457,Protein2082,Protein2084,Protein7463,Protein7481,Protein7482,SmallMolecule362,SmallMolecule430;1
Complex3315,Complex3321;Complex3322;1
Complex3316;Complex1061,Complex3260,Complex3278,Complex3284,Complex3304,Complex3305,Complex3309,PhysicalEntity454,PhysicalEntity455,Protein2082,Protein2084,Protein7481,Protein7482;1
Complex3318,PhysicalEntity456;Complex3323;1
Complex3318,SmallMolecule361,SmallMolecule426,Complex3320;Complex1061,Complex3260,Complex3278,Complex3284,Complex3304,Complex3305,Complex3309,PhysicalEntity116,PhysicalEntity70,Protein2082,Protein2084,Protein7463,Protein7481,Protein7482,SmallMolecule362,SmallMolecule430;1
Complex3322,Complex3336,Complex3473,Protein7623,Protein7626;Complex3477;1
Complex3323;Complex1061,Complex3260,Complex3278,Complex3284,Complex3304,Complex3305,Complex3309,PhysicalEntity454,PhysicalEntity455,Protein2082,Protein2084,Protein7463,Protein7481,Protein7482;1
Complex3325,SmallMolecule361,Protein7452;Complex3326,SmallMolecule362;1
Complex3327,Protein3231;Complex3328;1
Complex3328,Complex3328;Complex3329;1
Complex3329,Complex3336;Complex1050,Complex1061,Complex1078,Complex1080,Complex3260,Complex3278,Complex3284,Complex3299,Complex3326,PhysicalEntity111,PhysicalEntity459,Protein2082,Protein2084,Protein3231,Protein7463,Protein7469,Protein7470;1
Complex3336,Complex3400;Complex3402;1
Complex3336,Complex3435;Complex3436;1
Complex3337,SmallMolecule426,Complex3337;Complex3338,SmallMolecule2643;1
Complex333,SmallMolecule142;Complex334,SmallMolecule144;1
Complex334,Protein907,Complex334,Protein888;Complex333;1
Complex3341,SmallMolecule2643,Complex3341;Complex3344,SmallMolecule1587;1
Complex3344,SmallMolecule427,Complex3344;Complex3140,Complex3340,Complex3347,SmallMolecule429;1
Complex3347,SmallMolecule426,Complex3347;Complex3348,PhysicalEntity111,Protein2787;1
Complex3350,Complex3350;Complex3121,Complex3273,Complex855,PhysicalEntity465;1
Complex3351,Complex3352;Complex1061,Complex1062,Complex1063,Complex1066,Complex1067,Complex1068,Complex3353,Protein2082,Protein2084,Protein2567,Protein2568,Protein2573,Protein2579,Protein7499,Protein7500;1
Complex3351,Protein7504;Complex3356;1
Complex3352,Complex4471;Complex4476,Complex4482;1
Complex3353,Protein7503;Complex3354;1
Complex3354,SmallMolecule361,Complex3354;Complex3357,SmallMolecule362;1
Complex3356,SmallMolecule361,Complex3356;Complex3351,Protein7505,SmallMolecule362;1
Complex3357,Protein7505;Complex3359;1
Complex3359,SmallMolecule361,Complex3359;Complex3360,SmallMolecule362;1
Complex335,SmallMolecule123,Protein892;Complex336,SmallMolecule124;1
Complex3360,Complex3360;Complex3361;1
Complex3361,Protein7508;Complex3362;1
Complex3362,Complex3363,Complex3365,Protein7511;Complex3366;1
Complex3363,Complex4482;Complex4483;1
Complex3366,SmallMolecule2643,Complex3366;Complex3367,SmallMolecule1587;1
Complex3367,Complex3367;Complex3352,Complex3363,Complex3365,PhysicalEntity469,Protein7506,Protein7507,Protein7511;1
Complex3368,Complex3369,PhysicalEntity472,Complex3374;Complex3372,Complex3373;1
Complex3373,Protein1739,Complex3373;Complex3375;1
Complex3378,SmallMolecule427;Complex3379,SmallMolecule429;1
Complex3379,Complex3383;Complex3384;1
Complex337,SmallMolecule142;Complex338,SmallMolecule144;1
Complex338,Complex338,Complex335;Complex337,SmallMolecule145;1
Complex3383,Complex3412,PhysicalEntity472;Complex3413;1
Complex3383,Complex4514,Protein3290,Protein3290;Complex3383,Complex4516;1
Complex3383,Complex4980,Complex4985;Complex4986;1
Complex3383,Complex5033;Complex5029;1
Complex3383,Complex5046,Protein3290,Protein3290;Complex3383,Complex5025;1
Complex3384,Protein7552;Complex1116,Complex3385;1
Complex3385,Protein7553;Complex3387;1
Complex3387,SmallMolecule361,Complex3387;Complex3388,SmallMolecule362,SmallMolecule430;1
Complex3388,Complex3390,Protein7561;Complex3392,Protein3255;1
Complex338,Complex339,PhysicalEntity30;Complex340;1
Complex3391,Protein11489,Complex3391;Protein11496,Protein3255;1
Complex3392,Complex3395,Protein7581;Complex1068,Complex3397,Complex3399;1
Complex3399,Complex719,Protein7582;Complex3400;1
Complex3401,SmallMolecule426,Protein7584;Protein1739,Protein7497;1
Complex3402,Complex3402;Complex3403;1
Complex3405,Complex3405;Complex3140,Complex3336,Complex3381,Complex3386,Complex3410,PhysicalEntity477,Protein7552,Protein7553,Protein7582;1
Complex340,Complex344,Protein940,Complex334,Protein950,Complex341,Complex340,Complex343,Complex347,Complex346,Complex348;Complex345;1
Complex3410,SmallMolecule2643,Complex3410;Complex3411,SmallMolecule1587;1
Complex3411,PhysicalEntity478;Complex3406,PhysicalEntity70;1
Complex3412,Complex5234,Complex5236;Complex5237;1
Complex3413,SmallMolecule2648,Complex3413;Complex3414,SmallMolecule1587;1
Complex3414,Protein7586;Complex3415;1
Complex3415,Complex3416;Complex3372,Complex3418;1
Complex3418,Protein1739,Complex3418;Complex3419;1
Complex3419,Complex3424,Complex3425,Protein1758,Protein3287,Protein7552,Protein7592;Complex3426;1
Complex3426,SmallMolecule426,Complex3426;Complex3427,Protein1739;1
Complex3427,SmallMolecule361,Complex3427;Complex3431,SmallMolecule362,SmallMolecule430;1
Complex342,SmallMolecule123,Protein892;Complex343,SmallMolecule124;1
Complex3431,Complex719,Protein7582;Complex3435;1
Complex3436,Complex3436;Complex3437;1
Complex3438,Complex3438;Complex3336,Complex3439,Protein7552,Protein7582;1
Complex3439,SmallMolecule2643,Complex3439;Complex3440,SmallMolecule1587;1
Complex3440,PhysicalEntity478;Complex3406,Complex3441;1
Complex3441,Protein3291;Complex1471,Complex3383,Complex3417,Complex3421,Complex3424,Complex3425,PhysicalEntity486,PhysicalEntity70,Protein1758,Protein3287,Protein7592;1
Complex3442,PhysicalEntity487;Complex3443;1
Complex3443,SmallMolecule361;Complex3444,SmallMolecule362;1
Complex3447,Complex3447;Complex3448;1
Complex3448,Protein7468;Complex3449;1
Complex3449,Complex719,Complex3449;Complex3450;1
Complex3450,SmallMolecule455,SmallMolecule456,SmallMolecule457,SmallMolecule458,Complex1176;Complex719,PhysicalEntity490;1
Complex3451,PhysicalEntity492;Complex3452;1
Complex3452,SmallMolecule361;Complex3453,SmallMolecule362;1
Complex3455,Complex3455;Complex3456;1
Complex3456,Protein7468;Complex3457;1
Complex3457,Complex719,Complex3457;Complex3450;1
Complex3458,Complex3459,PhysicalEntity494;Complex3461;1
Complex3461,Protein7605,Protein7606,Protein7607,Protein7608,Protein7609,Protein7610,Protein7611,Protein7612,Protein7613;Complex3462;1
Complex3462,Complex3464,Protein7616;Complex3465;1
Complex3466,SmallMolecule361,Complex3466;Complex1050,Complex3299,Complex3467,SmallMolecule362;1
Complex3467,Protein1739,Complex3467;Complex3472,Complex3473;1
Complex3473,Complex3162;Complex3468,Complex3469,Protein1739;1
Complex3477,Complex3477;Complex3322,Complex3336,Complex3479,Protein7623,Protein7626;1
Complex3479,Protein7627;Complex3481;1
Complex3481,SmallMolecule2643,Complex3481;Complex3470,Complex3474,PhysicalEntity472,PhysicalEntity71,Protein7627,SmallMolecule1587;1
Complex3482,Complex3483;Complex3484;1
Complex3483,PhysicalEntity1223;Complex7633;1
Complex3484,SmallMolecule147,Complex3484;Complex3485,SmallMolecule366;1
Complex3485;Complex2139,Complex590,Protein7628,SmallMolecule2649;1
Complex3487,SmallMolecule414;Complex3488;1
Complex3490,Protein7638;Complex3491;1
Complex3495,SmallMolecule636;Complex3494;1
Complex3497,Complex3498;Complex3499;1
Complex3497,Protein9701;Complex4915;1
Complex349,Complex350,Protein763,Protein956,SmallMolecule123;Complex351,Protein958,Protein959,Protein960,SmallMolecule124;1
Complex3500,Protein7662,SmallMolecule123,Protein7662;Complex3501,SmallMolecule124;1
Complex3506,PhysicalEntity1092,SmallMolecule358;Complex6499;1
Complex3506,PhysicalEntity1189;Complex6493;1
Complex3506,PhysicalEntity497,SmallMolecule358;Complex3510;1
Complex3506,Protein12407;Complex5957;1
Complex3507,Complex43;Complex6382;1
Complex3507,Complex6287;Complex6503;1
Complex3507,PhysicalEntity1091;Complex6501;1
Complex3507,PhysicalEntity1096;Complex6500;1
Complex3507,Protein14144;Complex6550;1
Complex3507,Protein14708;Complex6556;1
Complex3508,Complex6285;Complex6502;1
Complex3508,Protein12112;Complex5714;1
Complex3508,Protein14642;Complex6507;1
Complex3509,PhysicalEntity1020,SmallMolecule358;Complex6498;1
Complex3509,PhysicalEntity1092;Complex6505;1
Complex3509,PhysicalEntity1190;Complex6504;1
Complex3511,Protein7669;Complex3512;1
Complex3512,Protein213,Protein7670;Complex3513;1
Complex3513,PhysicalEntity497;Complex3514;1
Complex3514,SmallMolecule123,Complex3514;Complex3564,SmallMolecule124;1
Complex3515,Complex3516;Complex3518;1
Complex3516,Complex3546;Complex3657;1
Complex3516,Complex3695;Complex3696;1
Complex3519,Protein162;Complex3521;1
Complex3519,Protein179;Protein7676;1
Complex3520;Complex317,Complex3519;1
Complex3520,Protein221;Complex3522;1
Complex3525,Complex3526;Complex3527;1
Complex3526,Complex7637;Complex7640;1
Complex3527,SmallMolecule125,Complex3527;Complex3528,SmallMolecule133;1
Complex3528;Complex590,Complex599,Protein7677,SmallMolecule541;1
Complex352,Complex354;Complex361;1
Complex3530,Complex3531;Complex3533;1
Complex3531,Complex3537;Complex3538;1
Complex3531,Complex7652;Complex7656;1
Complex3531,Protein7690;Complex3547;1
Complex3532,Complex590;Complex3531;1
Complex3533,SmallMolecule125,Complex3533;Complex3534,SmallMolecule133;1
Complex3534;Complex3536,Complex590,Protein7678,SmallMolecule541;1
Complex3536,Protein7679,Protein16042;Complex3532;1
Complex3536,Complex3587;Complex7662;1
Complex3536,Protein14720;Complex7658;1
Complex3536,Protein16038;Complex7659;1
Complex3536,Protein16039;Complex7660;1
Complex3536,Protein16041;Complex7661;1
Complex3537,Complex3539;Complex3541;1
Complex3538,SmallMolecule125,Complex3538;Complex3542,SmallMolecule133;1
Complex3541,SmallMolecule125,Complex3541;Complex3543,SmallMolecule133;1
Complex3542;Complex3536,Complex590,Protein7680,SmallMolecule2656;1
Complex3543;Complex3545,Complex590,Protein7680,SmallMolecule2656;1
Complex3545,Protein16044;Complex7666;1
Complex3546,Complex3726;Complex3727;1
Complex3546,Protein15682;Complex7513;1
Complex3546,Protein8035,SmallMolecule2679;Complex3704;1
Complex3546,Protein8069;Complex3730;1
Complex3547,SmallMolecule125,Protein7690;Complex3548,SmallMolecule133;1
Complex3548;Complex3536,Complex590,Protein7690;1
Complex3549,Complex7663;Complex7664;1
Complex3549,Protein7690;Complex3552;1
Complex354,Complex374;Complex376;1
Complex3552,SmallMolecule125,Protein7690;Complex3553,SmallMolecule133;1
Complex3553;Complex3557,Complex590,Protein7690;1
Complex3557,Complex3557;Complex7670;1
Complex3557,Protein12031;Complex7668;1
Complex3558,Protein179,Protein7698;Complex3560;1
Complex3559,Protein179,Protein7698;Complex3561;1
Complex3560;Complex3562;1
Complex3561;Complex3561;1
Complex3562,Complex3562;Complex3563;1
Complex3564,Protein7703;Complex3567;1
Complex3567;Complex3584,Complex3585;1
Complex3567,SmallMolecule123,Complex3567;Complex3568,SmallMolecule124;1
Complex3568;Complex3564,Protein7704;1
Complex3570,SmallMolecule123,Complex3570;Complex3571,SmallMolecule124;1
Complex3572,SmallMolecule125,Complex7666;Complex3573,SmallMolecule133;1
Complex3572,SmallMolecule125,Protein7711;Complex3573,SmallMolecule133;1
Complex3573,Complex3587;Complex7667;1
Complex3574,SmallMolecule125,Protein7712;Complex3575,SmallMolecule133;1
Complex3576,SmallMolecule125,Protein7713;Complex3577,SmallMolecule133;1
Complex3580,Protein7703;Complex3579;1
Complex3582,SmallMolecule123,Complex6907;Complex6937,SmallMolecule124;1
Complex3584,Complex590;Complex7671;1
Complex3587,Complex4150;Complex4149;1
Complex3587,Complex4153;Complex4152;1
Complex3587,Complex6979;Complex6980;1
Complex3587,Protein17293;Complex8171;1
Complex3588,Protein7765;Complex3622;1
Complex3590,Complex9153;Complex9154;1
Complex3590,PhysicalEntity1343;PhysicalEntity498;1
Complex3590,Protein187,Protein19180,Protein8348;Complex9122;1
Complex3595,Complex9066;Complex9067;1
Complex3595,Complex9201;Complex9202;1
Complex3604,Complex9090;Complex9093;1
Complex3614,Complex9090;Complex9091;1
Complex361,Protein965;Complex362;1
Complex362;Complex363;1
Complex3620,Complex9090;Complex9092;1
Complex3621,Protein7764;Complex3620;1
Complex3622,SmallMolecule123,Complex3622;Complex3623,SmallMolecule124;1
Complex3624,Protein7732;Complex3625;1
Complex3625,SmallMolecule123;Complex3580,SmallMolecule124;1
Complex3626,SmallMolecule125,Protein7770;Complex3627,SmallMolecule133;1
Complex3626,SmallMolecule125,Protein7773;Complex3627,SmallMolecule133;1
Complex3627,Protein18462;Complex3626,SmallMolecule363;1
Complex3627,Protein6887;Complex8403;1
Complex3627,Protein7774,SmallMolecule635;Complex3628;1
Complex3628,Protein7775;Complex3629;1
Complex3629,Complex3630;Complex3633;1
Complex3630,Complex3635;Complex3636;1
Complex3631,Protein7792;Complex3651;1
Complex3631,Complex3722;Complex6545;1
Complex3631,PhysicalEntity1191;Complex6548;1
Complex3631,Protein7783;Complex6544;1
Complex3631,Protein7938;Complex6549;1
Complex3633,PhysicalEntity499,SmallMolecule2657;Complex3635;1
Complex3633,Protein7793;Complex3652;1
Complex3634;Complex3722;1
Complex3636;Complex3637,Protein7778;1
Complex3637,SmallMolecule138,Protein7784;Complex3639,SmallMolecule134;1
Complex3639,SmallMolecule123,Protein179;Complex3641,SmallMolecule124;1
Complex3641,Protein180;Complex3643;1
Complex3641,Protein7703;Complex3654;1
Complex3643,SmallMolecule123,Complex3643;Complex3644,SmallMolecule124;1
Complex3644,SmallMolecule123,Complex3641;Complex3645,SmallMolecule124;1
Complex3645,Protein187;Complex3646;1
Complex3645,Protein7788;Complex3648;1
Complex3646,Protein7787;Complex3647;1
Complex3648,SmallMolecule123,Complex3645;Complex3649,SmallMolecule124;1
Complex3649,Protein7790;Complex3650;1
Complex3652;Complex3653;1
Complex3653;Complex3633,Protein7794;1
Complex3654,SmallMolecule123,Complex3654;Complex3655,SmallMolecule124;1
Complex3668,Complex3546;Complex3634,Protein8060,Protein8061;1
Complex3674,Complex6515;Complex6516;1
Complex3677,Complex3676;Complex3678,Protein8001;1
Complex3677,SmallMolecule315,Complex3680;Complex3678,Protein8001;1
Complex3677,SmallMolecule315,Complex3715;Complex3678,Protein8001;1
Complex3678,Complex3680,Protein8010;Complex3683;1
Complex3678,Complex3719;Complex3720;1
Complex3679,Protein7995;Complex3680;1
Complex3682;Complex3714;1
Complex3685,Protein7943,SmallMolecule380;Complex3686;1
Complex3686,Protein8016;Complex3687;1
Complex3687,Complex3690;Complex3688;1
Complex3688,Complex3688;Complex3691,Complex3693,Protein8024;1
Complex3693,Protein7944;Complex3716;1
Complex3694,Protein7944;Complex3718;1
Complex3696,Complex3546;Complex3698;1
Complex3696,Complex3694;Complex3698;1
Complex3701,Complex3702;Complex3700;1
Complex3708,Protein8040,SmallMolecule2679;Complex3707;1
