tail;head;cost
Complex1129,Complex1130;Complex1108,Complex1121,Protein1739;1
Complex1131,SmallMolecule426,Protein2552;Complex871,SmallMolecule430;1
Complex1132,SmallMolecule361,Protein2745;Complex1133,SmallMolecule362;1
Complex1134,SmallMolecule361,Protein2745;Complex1135,SmallMolecule362;1
Complex1137,Protein2110;Complex1138;1
Complex1138,SmallMolecule361,Complex1138;Complex1139,SmallMolecule362;1
Complex1140,Complex1154;Complex1156;1
Complex1140,Dna317;Complex9320;1
Complex1140,Dna318;Complex9322;1
Complex1141,Protein2621;Complex1143;1
Complex1141,SmallMolecule361,Complex1162;Complex1164,Protein2772,SmallMolecule362;1
Complex1143;Complex1085,Protein2750;1
Complex1147,Complex1149,Complex1146;Complex1150;1
Complex1148,PhysicalEntity101,Complex1146;Complex1147;1
Complex114,Complex115,Protein305;Complex116;1
Complex1150,SmallMolecule451,Complex1149;Complex1148,Complex1152;1
Complex1151;Complex1149,Complex1153;1
Complex1151,Complex1171;Complex1172;1
Complex1152,SmallMolecule455,SmallMolecule456,SmallMolecule457,SmallMolecule458,Complex1149;Complex1151;1
Complex1153,Protein2685,Complex1155;Complex1154;1
Complex1159;Complex869;1
Complex116,Complex116;Complex112,Complex113,Complex117,Protein301,SmallMolecule134;1
Complex1160,SmallMolecule426,Protein2768;Complex869,SmallMolecule430;1
Complex1162,SmallMolecule361,Complex1162;Complex1163,SmallMolecule362;1
Complex1165;Complex1166;1
Complex1166,Complex1048;Protein1716;1
Complex1167,Complex1048;Protein1716;1
Complex1171,Complex1428;Complex1149,Complex1429;1
Complex1171,Complex3403,Complex3404,PhysicalEntity475;Complex3405;1
Complex1171,Complex3404,Complex3437,PhysicalEntity475;Complex3438;1
Complex1172,Complex1173,SmallMolecule361;Complex1174,SmallMolecule362;1
Complex1173,Complex1429,SmallMolecule361;Complex1430,SmallMolecule362;1
Complex1173,Complex3444,Complex3446;Complex3447;1
Complex1173,Complex3446,Complex3453;Complex3455;1
Complex1174;Complex1171,Complex1175;1
Complex1175,Complex1176;Complex1177;1
Complex1175,Complex1176;Complex1177;1
Complex1176,Complex1431;Complex1432;1
Complex1177,Complex1176;Complex1178;1
Complex1178;Complex1179;1
Complex1179,Complex719;Complex1180;1
Complex117,Complex130,Complex131;Complex132;1
Complex1180,Protein2786;Complex1181;1
Complex1181;Complex1182,Complex719,Protein2786,SmallMolecule459,SmallMolecule460,SmallMolecule461,SmallMolecule462;1
Complex1182,Protein2787;Complex1183;1
Complex1185,SmallMolecule361,PhysicalEntity115;Complex1186,SmallMolecule362;1
Complex1186;Complex1187;1
Complex1188,Complex1048;Protein1716;1
Complex1189,SmallMolecule424,Protein2802;Complex1192,SmallMolecule425;1
Complex1190,Complex1377,PhysicalEntity137;Complex1378;1
Complex1191,Complex3247,Complex5504;Complex5501,Protein3255;1
Complex1191,Protein2792,Protein2793;Complex1190;1
Complex1192,PhysicalEntity116,Protein2805;Complex1197;1
Complex1195,SmallMolecule424,Protein2802;Complex1196,SmallMolecule425;1
Complex1196,PhysicalEntity117,Protein2805;Complex1200;1
Complex1197,SmallMolecule123,Complex1244;Complex1333,SmallMolecule124;1
Complex1200,Complex1332;Complex1342;1
Complex1204,Protein2611;Complex1208;1
